17
843 1986
486 849 31
157 700 296
147 149 648
105 174 174
502 218 879
724 641 138
499 117 53
131 731 229
612 408 532
262 369 401
891 848 522
53 171 535
430 124 846
861 213 263
729 425 997
257 808 112
238 322 336
664 769 613
250 317 137
758 267 449
358 337 82
443 446 304
511 350 979
533 220 458
371 499 43
554 741 515
411 214 310
901 845 381
458 218 929
566 577 12
697 854 150
280 670 259
781 379 554
375 620 224
75 826 462
74 643 92
740 475 21
678 572 332
749 707 7
679 103 280
364 55 350
930 739 302
82 819 821
682 618 992
802 398 281
661 812 215
251 425 285
451 710 999
440 148 919
831 273 524
480 230 16
105 229 574
654 873 627
33 412 8
691 166 389
200 299 585
642 149 667
152 500 628
58 569 722
108 821 567
375 254 182
473 535 979
18 563 116
481 597 338
93 467 966
847 937 338
848 927 598
219 469 965
628 436 803
765 98 406
588 517 553
483 473 632
413 692 983
312 747 963
380 454 661
381 27 634
605 846 440
194 272 703
176 225 925
791 578 135
223 627 182
723 52 501
111 817 775
635 30 904
522 310 138
897 1821
175 710 521
143 538 717
111 781 104
447 695 444
602 583 723
473 113 54
171 538 412
266 699 502
261 488 947
232 379 963
519 550 218
249 768 373
8 504 468
173 649 58
508 825 782
433 646 536
315 133 272
353 575 541
139 862 50
603 680 290
73 255 67
398 629 297
316 214 48
158 554 209
512 213 680
88 372 561
523 611 922
804 768 311
324 818 581
469 625 41
321 245 846
57 675 825
92 366 248
393 410 280
714 114 452
820 5 341
315 198 28
702 118 934
282 807 221
39 206 440
864 239 179
48 719 213
619 572 521
102 297 9
840 70 341
26 87 899
151 300 761
458 143 784
729 198 999
708 9 459
633 555 923
387 245 937
384 130 799
400 848 652
128 39 809
82 620 228
329 578 354
183 615 8
114 372 171
660 88 24
369 851 657
301 203 61
772 131 915
501 129 214
826 14 250
866 468 137
544 107 536
67 196 709
613 398 455
131 224 994
484 259 37
154 359 729
712 457 377
476 465 502
273 673 827
817 637 949
620 54 508
334 523 100
431 821 642
322 238 886
402 788 908
227 353 179
599 607 194
183 412 694
269 324 561
444 768 59
101 883 601
745 25 1
152 737 694
658 789 696
616 783 603
142 373 581
370 466 772
510 635 426
762 759 879
860 633 912
858 303 836
313 260 442
60 190 101
620 242 956
111 781 504
820 31 233
882 618 821
737 43 454
438 271 625
348 6 609
370 591 463
1 215 507
874 280 968
164 883 602
359 244 841
498 69 450
699 672 726
90 843 794
762 658 93
84 799 191
785 252 410
169 804 395
754 380 440
440 694 64
215 320 211
890 438 345
58 286 349
168 361 512
414 538 954
65 262 680
598 559 81
779 525 343
561 345 51
607 406 928
73 393 45
542 131 201
79 175 810
457 282 754
312 799 257
131 868 239
85 496 197
505 43 735
517 261 812
86 401 285
688 566 499
287 337 281
562 390 38
485 549 856
23 654 776
121 508 657
244 33 738
252 7 877
494 91 212
78 129 929
256 147 512
391 671 901
734 152 288
114 754 324
459 672 872
143 337 194
94 827 55
332 862 86
696 154 22
603 306 398
249 386 386
341 253 617
655 140 574
253 83 643
881 322 675
352 358 804
612 500 753
252 8 584
427 748 546
588 94 646
584 224 579
573 810 87
682 395 86
176 471 948
619 104 450
650 450 690
129 654 578
379 149 18
805 518 675
522 279 53
277 244 348
69 360 187
608 33 785
778 446 895
320 522 405
316 32 448
34 567 948
700 827 158
14 549 400
126 628 62
834 346 33
303 763 655
295 700 312
604 209 250
231 173 818
309 858 648
789 211 344
155 356 395
303 538 495
256 18 136
698 310 276
111 585 69
520 30 340
312 738 678
659 146 163
16 330 377
886 552 958
491 448 394
166 416 48
174 843 909
652 450 897
857 453 387
464 181 871
399 206 136
866 516 855
546 778 759
199 350 596
23 71 269
416 432 908
94 645 100
534 571 57
690 299 823
568 314 945
74 762 212
31 159 434
99 50 167
160 656 551
878 440 734
21 522 96
161 484 269
241 199 737
38 674 755
301 452 296
712 861 653
543 443 953
789 864 548
654 154 174
350 265 266
468 434 448
897 110 299
451 343 320
836 847 664
114 327 927
822 692 748
562 759 227
275 542 901
739 315 666
5 267 547
397 408 233
183 897 306
772 712 663
33 202 387
599 623 873
207 284 579
502 697 686
490 714 680
677 86 134
357 704 15
403 503 4
785 490 436
12 197 509
760 243 540
32 856 508
781 241 265
628 566 445
57 141 745
61 832 819
222 429 234
671 826 421
490 523 138
173 558 843
835 266 890
510 862 595
837 143 625
64 731 953
57 350 642
684 360 530
717 454 796
198 266 933
781 571 645
473 467 114
609 391 735
22 128 2
703 360 966
131 657 531
165 78 713
34 262 111
708 177 763
227 298 396
600 241 766
846 338 531
472 644 834
372 844 13
858 620 601
617 94 114
658 177 962
227 203 445
16 848 686
628 24 308
855 814 257
712 354 961
804 408 940
424 28 579
269 752 280
395 571 997
402 286 749
754 532 352
345 879 887
153 388 501
71 675 261
341 716 229
749 229 448
489 696 520
223 42 182
286 473 856
92 306 279
743 788 272
493 717 577
801 846 387
382 639 310
223 576 613
639 720 80
803 753 59
306 642 567
746 532 880
172 668 872
623 198 683
636 217 254
293 258 334
735 81 474
195 78 740
162 290 899
729 268 131
677 390 693
267 541 319
219 440 913
768 401 279
103 542 854
895 99 222
857 441 576
487 861 184
351 415 141
814 286 128
498 129 255
667 258 364
540 380 168
286 359 810
343 728 634
664 782 7
206 258 711
451 684 101
366 168 540
731 700 962
720 583 76
834 22 363
160 669 318
778 371 656
892 852 934
9 112 719
887 659 847
21 456 32
546 740 730
833 121 763
419 725 574
165 283 297
431 81 835
619 632 305
895 3 669
473 31 900
207 266 604
378 352 650
794 175 956
133 653 131
99 90 728
79 673 611
245 325 182
708 332 249
709 659 208
47 787 161
435 737 303
17 668 449
223 778 416
17 222 862
399 842 799
312 650 65
332 699 399
170 209 198
1 828 787
383 431 627
703 685 438
160 77 377
667 868 377
557 814 769
268 90 254
595 751 964
83 492 97
885 722 958
269 299 309
884 691 358
497 654 60
702 305 230
374 793 128
875 128 175
791 741 123
206 781 653
376 660 983
313 170 695
381 851 195
389 575 378
519 376 227
537 6 997
243 854 425
301 699 821
184 603 809
278 315 22
197 84 890
67 102 565
236 470 939
119 589 394
65 147 134
76 518 683
571 300 813
343 219 12
491 496 834
102 858 212
644 148 573
30 805 301
582 583 724
125 234 370
629 672 122
653 808 261
776 63 417
372 453 770
202 657 604
1 503 789
82 655 246
119 89 346
370 841 305
300 2 743
808 240 366
507 199 50
629 55 290
45 284 743
710 602 479
431 316 146
305 297 73
140 517 58
35 805 202
243 112 967
681 751 237
284 834 278
585 622 210
838 199 197
386 589 931
262 830 731
831 752 761
748 612 684
51 340 79
184 894 408
556 31 849
555 655 403
829 144 931
747 237 251
537 380 232
519 775 244
716 212 700
539 509 122
553 520 762
863 186 399
716 441 505
713 282 156
646 869 231
165 374 528
799 469 216
329 44 225
505 67 511
165 134 135
317 607 92
891 806 68
351 3 154
822 136 845
418 411 846
552 294 258
473 137 492
505 168 837
371 414 892
366 57 182
782 558 154
473 207 454
882 305 783
173 561 354
424 821 569
420 518 133
868 517 827
334 350 556
624 645 975
293 783 630
384 892 668
654 71 360
837 265 194
829 312 864
417 476 402
806 852 442
115 606 642
193 351 690
243 251 859
721 671 850
192 417 823
143 799 820
439 352 949
591 232 141
577 661 498
72 218 783
427 251 319
840 858 822
67 493 384
855 581 368
397 291 744
333 710 512
818 639 761
117 603 632
510 721 778
26 6 768
97 877 535
618 200 741
757 110 177
6 110 294
529 521 146
285 288 885
284 364 923
883 803 512
658 260 95
616 514 257
658 646 70
602 164 901
50 92 563
396 39 890
91 852 403
708 244 934
545 6 363
642 133 785
281 143 811
471 485 685
800 802 273
330 207 648
536 808 537
798 255 111
28 412 944
313 354 22
223 648 357
781 689 263
772 64 64
700 757 963
885 465 834
404 551 478
48 396 666
459 348 220
652 11 421
875 706 808
705 396 740
790 498 562
744 231 166
566 745 933
685 250 83
46 165 603
328 635 513
701 229 439
596 591 447
783 646 1
220 895 856
307 81 992
502 622 247
471 326 833
646 773 242
134 744 576
478 814 383
117 595 395
595 222 132
510 458 493
829 441 772
459 528 640
831 585 662
215 821 972
35 437 387
183 362 611
39 373 411
167 396 964
89 748 140
511 210 831
362 762 332
126 511 441
821 568 786
579 396 340
2 268 524
341 704 189
241 147 405
503 493 86
821 251 538
603 201 112
889 234 594
505 144 877
18 54 130
581 842 101
623 150 473
715 604 264
166 783 357
310 486 357
810 755 577
124 541 227
412 23 728
59 324 687
846 30 502
551 470 911
77 45 849
414 547 830
24 229 24
601 476 902
858 155 90
536 560 178
454 229 284
860 257 628
543 276 55
715 345 739
292 533 929
740 871 517
418 867 310
23 464 909
301 75 164
828 361 439
225 158 981
248 713 752
55 502 629
439 636 91
862 54 993
794 254 187
248 648 376
582 142 919
132 893 509
551 48 414
268 263 660
444 805 585
830 54 837
673 169 476
769 437 868
852 519 801
786 358 550
827 30 507
396 443 431
538 858 392
741 142 224
890 62 540
522 518 470
433 757 600
469 421 194
30 302 383
461 758 840
386 727 715
155 668 635
457 371 257
226 847 209
577 662 308
246 190 1000
326 403 40
301 848 729
484 881 860
367 364 142
311 495 35
655 326 325
486 444 518
229 629 989
891 707 54
233 734 268
346 354 497
669 769 557
650 261 624
83 865 101
216 435 709
465 87 309
548 251 962
660 45 331
483 850 151
274 846 970
842 893 55
433 209 656
769 28 849
38 651 206
646 262 170
891 440 75
616 652 873
296 175 759
691 626 690
293 321 634
416 148 601
831 353 404
406 593 367
299 284 136
293 550 19
567 878 239
445 220 720
578 139 477
351 566 122
260 272 497
432 42 6
748 328 214
558 602 854
210 825 990
770 618 23
17 191 692
825 529 127
229 282 324
876 278 438
857 1 602
494 666 704
283 268 761
706 558 358
279 61 785
156 280 454
264 842 629
738 476 587
686 895 540
323 542 249
242 367 437
509 190 657
123 421 758
538 822 4
153 400 360
847 69 91
284 46 125
744 249 852
539 742 541
384 217 36
191 523 432
121 558 178
336 340 286
225 891 259
99 376 421
116 201 123
569 74 653
269 185 984
694 886 363
51 599 143
678 4 386
294 609 596
549 636 352
876 427 377
293 430 94
121 408 631
728 141 902
588 278 281
288 96 388
70 707 706
680 498 841
16 460 862
730 609 979
773 649 701
250 256 426
73 385 66
603 17 280
835 403 831
384 505 778
733 606 993
402 107 732
34 840 338
298 15 236
420 851 319
226 139 145
208 483 608
289 100 35
756 407 466
624 678 673
138 538 584
134 276 441
221 760 79
176 699 207
359 739 953
591 50 407
713 425 161
475 342 416
315 857 314
400 484 990
820 359 860
127 797 335
116 614 538
423 823 416
135 104 476
2 75 453
559 663 958
897 433 575
747 546 202
837 707 319
306 33 997
692 707 244
587 69 498
16 711 329
694 328 861
691 889 61
186 669 930
778 799 622
272 643 760
693 474 745
427 28 807
141 376 989
177 559 389
800 141 502
250 193 264
556 195 760
884 624 163
337 297 142
827 812 173
686 825 390
453 96 302
774 89 914
321 435 592
785 591 159
858 486 686
793 524 945
352 714 677
857 576 779
194 136 933
816 342 670
750 611 577
34 588 213
228 492 950
722 539 474
890 295 707
836 671 48
422 47 252
7 804 51
863 797 482
98 445 376
273 797 573
845 563 562
460 195 802
250 310 535
553 453 510
159 544 451
81 763 151
567 472 124
288 887 922
509 496 229
513 720 819
776 3 869
47 588 621
753 778 268
799 125 115
746 290 20
570 503 883
406 590 824
735 761 829
882 159 288
745 81 918
490 203 697
366 543 68
496 694 112
126 422 259
864 532 268
677 550 479
469 219 230
391 279 949
692 495 19
201 20 918
362 582 378
247 423 965
736 84 24
182 197 88
511 18 404
742 276 402
215 72 609
788 101 280
21 71 495
638 259 846
682 283 185
539 558 823
294 317 616
428 585 876
601 844 244
229 477 865
791 780 540
281 812 659
230 703 559
142 195 930
578 394 634
91 247 13
126 531 158
73 83 403
633 820 990
294 167 298
362 733 615
455 878 750
533 853 638
773 304 384
174 244 766
326 81 176
413 526 397
125 886 362
758 221 938
340 125 172
710 405 101
168 378 60
443 565 388
209 792 235
529 801 856
301 712 825
505 605 263
168 797 665
144 850 56
362 127 978
800 16 677
852 634 691
681 755 890
355 849 597
452 647 812
530 114 295
711 443 350
812 20 570
162 287 969
270 281 61
299 11 943
19 789 912
754 161 556
320 616 406
772 220 583
384 791 155
177 682 995
437 427 397
582 32 315
320 710 728
743 77 631
786 179 264
758 413 888
529 894 769
6 799 407
624 192 790
749 585 311
460 341 465
437 175 892
57 265 985
783 376 283
124 371 701
451 663 37
399 440 751
635 327 76
33 624 949
545 387 666
412 539 166
793 344 335
268 836 45
83 799 395
693 841 735
799 385 228
97 171 236
77 528 567
218 241 432
852 809 376
237 753 779
566 241 250
654 242 648
95 698 365
774 611 231
739 468 938
249 665 860
739 172 147
212 76 613
344 67 189
507 873 59
719 889 338
615 483 61
643 328 751
636 460 702
600 803 986
435 580 611
229 884 502
286 554 475
46 316 583
116 518 830
403 690 543
71 512 344
107 420 21
99 725 92
212 105 259
309 280 595
551 560 597
358 452 808
379 240 103
846 384 647
452 296 774
365 826 47
817 641 667
197 499 228
22 479 63
386 714 344
427 85 514
368 728 432
440 379 39
157 54 296
692 747 653
42 69 868
204 751 585
598 213 620
784 164 583
426 839 913
241 664 572
484 156 495
224 289 94
767 747 415
692 16 378
40 108 382
4 882 444
509 586 945
524 178 673
333 820 955
458 674 655
363 2 937
29 703 562
866 301 581
439 415 143
810 660 788
800 337 212
621 191 924
520 836 987
691 55 938
508 106 317
452 854 150
725 782 966
774 307 699
885 741 835
108 384 898
223 752 762
438 667 468
22 225 313
871 827 303
797 303 513
408 854 871
844 194 829
111 93 101
549 706 8
295 174 888
266 740 140
220 812 705
444 678 778
282 390 772
668 517 339
607 426 951
152 778 718
526 138 605
67 795 318
343 572 543
78 756 197
187 775 993
894 685 599
62 897 266
59 60 110
373 611 270
561 587 438
444 856 946
740 65 684
686 115 557
477 165 508
673 551 775
21 164 778
364 615 607
338 840 447
176 770 118
665 716 375
335 713 780
657 601 557
123 706 700
145 144 561
661 115 874
278 414 75
20 245 429
289 809 597
289 351 369
523 299 360
129 354 175
538 776 270
749 577 175
719 684 360
154 826 884
14 290 858
621 830 60
205 788 259
827 127 63
822 341 837
57 238 948
806 660 866
880 711 775
667 814 980
698 226 685
115 448 545
442 665 92
212 398 18
638 666 674
884 106 839
337 590 341
352 692 248
83 571 557
759 579 819
698 485 343
628 437 573
503 447 426
125 83 818
866 33 549
430 416 945
732 93 407
710 811 92
589 209 558
204 752 442
453 801 611
651 357 543
835 834 384
650 874 763
524 802 366
680 852 90
713 751 705
647 86 220
346 35 297
275 515 901
296 650 951
827 246 603
875 311 702
822 685 524
86 577 919
332 67 202
836 815 209
493 564 788
61 257 223
694 670 68
783 261 625
220 192 312
168 563 305
211 746 570
87 775 179
622 720 362
167 133 409
354 367 261
58 256 543
198 568 531
661 381 504
691 624 86
275 393 69
480 163 621
776 484 831
430 319 557
612 156 458
184 693 431
169 507 371
546 139 73
468 856 642
212 789 412
235 671 749
406 772 442
445 358 920
318 766 824
786 237 243
768 410 905
56 524 22
243 164 550
822 15 483
719 243 982
873 724 321
856 729 725
134 286 102
865 120 814
390 728 489
306 350 739
368 800 297
590 523 605
565 522 384
192 57 623
375 592 17
499 42 150
27 404 723
392 451 134
11 70 405
459 68 52
563 415 485
266 502 369
688 466 986
404 67 39
537 45 53
5 742 252
724 291 907
391 438 145
769 459 813
217 485 997
189 739 165
188 617 887
339 63 919
855 759 127
359 120 48
393 680 568
473 158 261
400 790 746
86 280 879
599 327 444
220 288 465
162 358 310
825 360 111
63 617 113
503 892 265
518 726 447
681 402 762
597 125 657
181 360 568
767 56 833
629 751 693
623 705 425
267 305 390
538 572 1
645 734 892
271 209 152
606 474 894
66 114 715
230 858 385
389 214 483
443 99 371
813 529 91
50 691 987
616 465 24
150 314 674
890 651 572
221 893 189
846 353 376
880 756 340
314 772 211
417 863 118
273 626 884
609 257 177
781 336 954
67 807 727
539 429 627
217 568 366
28 660 827
893 673 668
519 98 150
882 27 947
273 830 170
801 715 387
527 561 75
254 224 318
839 790 887
78 673 278
461 480 903
225 250 229
174 436 778
851 31 185
809 31 965
869 80 521
279 231 275
484 529 562
833 26 85
167 812 420
25 401 811
508 179 982
355 419 206
670 186 583
473 60 290
161 575 800
693 24 113
174 240 485
893 269 817
648 203 221
768 295 880
713 825 636
825 741 114
484 243 515
760 313 750
862 885 388
113 367 272
719 408 916
280 487 381
26 401 224
671 98 356
682 366 791
308 367 246
306 85 481
507 616 948
150 469 189
867 864 710
479 93 78
364 14 314
569 591 865
259 37 604
313 565 499
766 836 908
384 274 21
769 243 845
240 187 492
632 346 261
641 316 869
587 180 327
375 775 235
494 689 930
667 73 14
489 522 540
214 711 507
868 348 691
719 431 43
120 244 197
784 413 717
216 551 556
426 747 695
296 741 246
306 217 415
206 300 19
494 659 380
350 369 792
493 150 552
499 292 801
64 121 639
651 562 205
855 814 60
271 68 36
490 346 344
503 175 576
674 459 896
824 199 732
600 179 124
518 746 573
4 134 17
49 366 145
346 876 931
121 799 378
677 129 205
853 6 742
276 220 636
295 596 586
400 3 893
226 812 461
42 814 525
328 714 614
142 818 418
335 380 433
810 295 533
861 673 391
618 757 995
764 160 659
610 521 137
569 887 307
271 40 111
860 322 668
467 401 970
769 687 959
712 891 524
628 510 50
686 648 973
212 506 295
134 543 544
302 812 706
284 180 313
734 695 997
405 759 832
697 320 82
618 338 153
665 33 414
162 223 437
769 708 612
651 389 579
486 315 61
309 205 906
595 738 317
466 283 242
520 421 414
96 283 285
393 396 885
395 594 973
874 8 915
758 568 839
215 320 900
27 191 401
212 774 435
305 154 946
834 238 39
808 267 905
756 60 298
7 209 799
807 279 531
404 523 465
93 596 641
275 346 808
163 141 923
111 734 568
539 715 493
90 774 677
167 700 113
289 687 651
97 710 634
274 299 15
514 561 636
766 129 887
736 183 557
375 184 59
387 494 899
259 662 484
889 42 657
223 236 224
612 529 383
427 272 321
324 806 614
130 664 511
603 492 770
419 288 338
826 856 222
434 677 875
111 39 840
801 234 96
823 220 967
589 106 17
70 196 456
736 766 53
821 29 87
700 27 403
325 772 14
739 804 31
1 298 25
95 264 685
123 791 373
712 631 281
701 762 431
806 842 639
795 697 292
82 454 915
150 442 476
799 894 483
757 323 35
40 69 689
100 272 962
703 210 356
257 527 182
182 835 68
169 97 811
840 230 177
328 6 53
94 368 163
786 454 807
650 112 866
203 230 608
88 749 655
573 887 456
263 179 269
249 97 25
301 120 457
170 113 241
249 582 908
445 441 490
618 248 246
646 721 249
608 808 336
297 417 663
356 10 314
374 304 807
105 269 417
67 336 36
826 850 346
10 396 920
190 73 231
350 803 919
119 216 741
1 214 244
857 351 109
475 825 362
502 501 176
347 134 370
253 780 356
653 369 400
359 397 122
169 777 611
520 530 649
646 518 528
215 810 922
226 496 773
234 288 385
13 743 784
545 251 597
309 712 332
883 714 196
302 407 725
464 778 915
24 396 204
582 72 207
21 868 366
748 334 107
249 632 695
876 729 481
671 24 144
361 551 597
206 625 47
875 63 657
166 605 888
93 714 820
422 519 331
650 795 608
284 67 693
278 211 10
670 138 855
631 220 841
766 624 413
642 780 523
333 128 579
15 279 335
506 229 814
835 622 90
698 143 250
386 697 403
611 134 938
813 483 849
290 634 178
95 173 881
64 218 328
356 76 39
273 856 897
55 410 231
454 140 669
160 174 396
104 201 527
227 108 25
337 180 925
809 30 84
879 97 954
578 803 256
78 142 648
287 190 930
154 312 802
418 725 204
408 488 910
889 227 424
798 196 859
798 424 389
533 96 32
448 347 134
622 743 931
294 60 870
541 867 803
359 66 21
794 299 890
682 845 535
119 221 220
429 886 732
839 420 518
841 217 321
677 243 85
364 221 970
203 687 517
668 17 251
155 221 191
295 61 805
434 805 466
480 376 596
64 93 358
31 166 55
12 232 885
232 319 209
561 816 210
376 794 912
96 669 145
15 512 839
84 60 764
685 716 845
424 141 633
798 790 877
323 868 743
122 737 996
656 242 915
336 749 657
475 418 235
78 236 629
495 563 275
318 288 982
351 643 107
272 466 310
447 837 166
293 333 398
379 183 635
28 257 487
853 515 793
603 503 213
592 14 600
668 112 841
192 637 218
525 576 987
871 543 103
612 401 111
284 20 104
500 638 285
287 164 395
718 811 724
715 366 764
290 863 767
611 497 198
816 766 692
434 854 696
693 408 627
96 615 57
481 858 30
3 170 479
211 63 289
713 404 434
414 560 625
629 468 913
834 440 189
601 711 821
417 582 929
865 635 865
185 407 587
334 891 766
445 404 199
725 730 200
743 368 789
677 252 586
480 536 512
326 238 909
893 540 62
892 343 493
74 466 525
837 20 478
699 714 606
615 161 17
37 774 594
513 400 303
65 763 176
534 201 710
607 804 491
446 120 352
242 646 342
447 28 785
288 26 134
292 864 649
86 621 409
357 307 628
715 761 730
515 223 30
241 412 583
37 543 684
328 363 47
73 44 964
78 580 730
283 546 422
597 35 424
254 694 566
611 155 22
122 725 191
129 222 336
442 330 505
736 365 45
141 610 576
388 410 436
372 462 121
828 430 468
306 358 742
690 625 480
56 488 65
519 819 270
45 61 571
215 39 292
891 739 643
518 530 710
286 244 238
687 452 963
457 851 878
283 758 619
214 37 846
748 127 341
15 296 560
539 208 958
516 172 423
825 601 318
757 123 417
654 100 308
877 3 723
309 621 940
465 377 552
482 363 740
854 516 584
17 426 652
178 274 467
94 193 239
733 270 683
396 341 239
21 848 917
219 802 789
91 446 283
151 704 2
204 761 491
97 552 406
610 53 529
303 442 758
484 674 788
445 94 773
473 791 607
375 614 412
733 167 7
343 662 48
787 320 408
369 535 512
546 19 34
584 112 860
293 854 11
858 797 69
879 732 4
759 77 492
625 142 981
321 428 766
644 10 754
88 183 898
683 569 230
734 746 827
380 40 473
337 330 985
596 10 58
19 355 911
538 868 484
355 624 732
825 833 466
159 46 241
438 342 706
96 251 972
266 85 303
427 800 828
413 837 219
559 239 384
703 262 741
696 166 509
331 879 599
647 865 386
407 667 569
353 835 376
893 78 837
364 165 363
62 307 944
300 351 87
503 372 820
729 579 896
319 699 251
229 819 935
395 335 574
729 498 142
619 688 76
179 848 729
42 619 972
14 70 964
519 393 428
808 791 395
425 43 567
673 611 81
279 796 324
343 347 324
112 639 491
665 188 90
655 288 568
482 35 607
128 1 167
253 443 881
1 430 478
55 331 51
347 375 878
321 518 497
854 800 797
639 321 301
456 8 225
666 855 948
853 255 119
59 33 193
273 648 418
711 487 945
321 289 606
472 285 773
334 626 776
811 319 827
692 229 599
33 63 324
264 891 548
428 192 542
355 568 852
791 643 89
163 621 668
484 266 565
46 135 681
666 315 248
760 451 251
404 256 268
566 599 282
301 278 676
424 568 477
140 853 697
237 92 437
788 274 494
399 641 145
91 626 147
218 629 613
294 291 221
454 843 754
123 553 463
488 348 933
303 281 365
460 761 865
589 702 248
579 118 1000
684 642 866
231 223 169
721 683 550
877 627 94
99 434 839
385 822 449
128 638 801
332 373 393
553 707 25
471 621 77
470 601 5
671 258 184
192 155 183
199 534 384
619 600 504
517 381 863
576 393 712
619 173 47
350 434 798
149 393 632
857 645 244
112 56 87
557 367 761
954 1930
38 460 802
303 155 696
808 404 425
129 255 878
784 413 500
390 909 917
257 266 698
486 843 431
366 519 233
878 424 359
601 127 743
217 211 453
269 757 614
480 278 310
356 811 764
816 136 584
298 470 179
614 376 990
282 847 833
27 663 403
224 825 694
251 741 383
261 107 691
243 932 937
362 782 882
21 609 893
412 822 109
186 297 355
327 502 15
380 540 142
320 510 456
898 698 465
234 152 878
643 500 396
405 38 260
221 780 491
94 833 781
208 810 775
759 559 60
263 487 50
126 123 42
428 251 907
767 386 255
226 258 100
343 633 980
718 904 938
125 791 429
714 27 516
898 762 490
118 396 234
645 824 232
709 895 435
575 633 577
169 261 101
254 911 969
496 213 631
642 56 803
99 39 795
375 668 154
728 431 622
485 431 803
357 271 231
635 820 763
502 839 162
936 365 980
556 775 197
188 581 766
190 636 672
887 758 129
14 389 742
46 640 399
120 581 801
860 18 718
59 135 469
203 551 114
574 831 586
905 609 538
639 166 624
684 495 546
309 437 548
541 4 934
94 892 924
888 761 931
792 441 540
706 876 979
681 607 787
229 863 161
901 437 533
838 697 686
801 78 670
108 515 720
678 498 70
15 522 125
525 555 894
513 943 439
585 284 579
347 768 701
881 446 469
734 802 888
446 688 207
623 36 842
840 358 180
572 434 480
64 99 33
210 218 636
643 818 436
711 614 319
577 288 51
516 869 986
826 75 756
754 225 81
400 343 264
730 924 589
877 945 788
641 380 294
15 668 258
946 223 744
152 49 290
764 821 438
496 9 236
692 802 452
50 34 953
777 57 144
109 432 734
879 663 939
581 900 35
361 610 537
704 897 757
604 55 234
58 240 178
735 119 564
894 315 43
453 489 733
139 700 691
655 488 496
150 69 943
447 641 171
932 725 391
449 366 881
208 435 283
105 359 517
517 746 724
232 653 508
180 574 654
342 873 350
478 341 807
224 290 20
335 506 586
146 238 706
489 529 760
799 24 114
205 876 433
876 480 778
566 375 906
274 554 450
101 342 87
366 57 511
529 756 690
340 905 707
186 273 747
280 152 974
74 524 908
647 393 642
816 871 108
55 825 111
17 104 984
380 472 754
21 951 887
451 80 15
283 799 990
912 148 207
445 503 980
476 558 876
742 594 675
583 259 687
583 353 850
891 164 716
184 96 834
537 885 670
937 222 235
499 85 895
713 413 742
221 179 775
911 136 255
919 705 24
870 837 383
438 493 302
143 734 275
254 154 455
135 42 851
605 368 209
322 617 543
208 752 395
80 639 557
847 768 191
242 461 196
667 689 271
283 617 93
560 896 528
571 93 203
135 859 513
342 728 987
710 92 433
336 220 360
711 171 587
697 226 451
187 784 851
665 297 50
368 329 410
20 669 417
569 677 181
871 790 301
34 483 754
854 343 841
586 319 217
103 287 951
741 479 744
475 511 371
163 283 203
434 470 823
786 582 930
912 750 86
214 103 695
945 568 405
531 440 278
648 104 132
596 481 880
804 271 152
804 549 933
509 155 319
725 115 16
494 168 696
284 477 701
97 689 236
8 406 50
466 308 487
946 443 939
647 805 860
43 871 381
871 578 579
222 844 209
473 495 296
631 772 153
49 281 108
23 714 902
859 748 10
933 91 216
246 751 558
451 775 628
209 660 951
950 655 244
760 616 818
814 639 848
302 383 333
418 543 449
613 626 63
100 477 129
809 886 349
876 671 575
114 493 36
176 488 317
261 458 848
105 605 433
633 897 939
872 133 479
780 931 807
474 423 957
235 442 857
436 515 47
674 476 6
253 649 825
580 570 190
798 823 508
819 225 880
60 290 656
179 91 987
347 427 984
373 585 618
440 400 995
944 13 471
124 429 156
42 874 995
547 394 231
814 504 306
276 934 319
472 524 62
43 216 241
716 502 210
545 105 321
150 282 24
594 863 270
372 100 323
128 53 378
105 803 575
605 671 373
194 362 316
750 648 612
952 881 203
248 803 142
15 159 805
882 895 431
195 129 408
862 912 127
336 810 402
660 578 767
873 801 736
665 900 971
560 836 946
901 467 429
394 301 48
309 232 783
394 571 481
951 266 221
869 853 851
332 367 375
411 480 170
860 523 439
133 260 169
237 482 387
925 420 484
288 834 186
874 924 712
848 62 120
136 716 624
94 712 291
2 908 166
195 219 716
895 228 76
304 264 713
947 746 850
812 441 551
390 434 182
636 242 482
681 753 883
41 284 203
479 853 61
794 150 638
236 626 662
721 764 876
40 724 475
336 360 489
127 766 560
389 145 179
173 377 403
398 477 481
541 463 943
74 223 853
941 124 270
843 644 451
98 287 944
813 220 350
450 929 660
729 407 595
188 280 797
190 310 144
811 474 154
855 657 66
266 282 972
37 51 21
720 236 832
400 521 593
343 472 767
583 554 930
320 117 255
819 171 470
772 383 679
677 269 846
51 498 398
817 274 329
276 254 929
325 514 13
742 633 408
802 862 606
414 276 576
826 443 256
937 466 889
351 508 88
166 610 315
93 866 133
584 904 612
417 571 489
299 576 828
834 64 129
947 131 478
124 356 899
529 259 898
329 160 594
547 38 778
821 85 472
923 452 756
582 109 930
787 834 110
166 181 422
882 870 929
653 74 826
228 907 387
945 569 312
650 305 534
149 284 797
389 764 789
525 436 528
687 535 217
515 308 832
889 91 544
272 402 309
223 741 133
193 871 521
895 101 241
614 653 826
70 543 91
651 38 118
17 351 257
129 521 18
188 313 510
558 269 566
470 428 206
152 578 184
781 952 534
710 740 872
429 888 951
61 406 696
749 86 33
677 718 825
480 867 172
